KOODIARVO;NIMI_FI;NIMI_SV;NIMILYHENNE_FI;NIMILYHENNE_SV;ALKUPVM;LOPPUPVM
481;Puu- ja metallihuonekalupeppä, pk (Käsi- ja taideteollisuusalan perustutkinto);Trä- och metallmöbelsnickare, gr (Grundexamen inom hantverk och konstindustri);Puu- ja metallihuonekaluseppä, pk;Trä- och metallmöbelsnickare, gr;15.05.2009;
007;Puu ja muotoilu, pk (Käsi- ja taideteollisuusalan perustutkinto);Trä och formgivning, gr (Grundexamen inom hantverk och konstindustri);Puu ja muotoilu, pk;Trä och formgivning, gr;01.01.2013;
111;Puuala, pk (Käsi- ja taideteollisuusalan perustutkinto);Trä, gr (Grundexamen inom hantverk och konstindustri);Puuala, pk;Trä, gr;01.01.1990;
863;Puualan perustutkinto, pk;Grundexamen inom träbranschen, gr;Puualan perustutkinto, pk;Grex inom träbranschen, gr;01.01.1990;
051;Puumuotoilu- ja puusepänala, pk (Käsi- ja taideteollisuusalan perustutkinto);Träformgivning och snickeribranschen, gr (Grundexamen inom hantverk och konstindustri);Puumuotoilu- ja puusepänala, pk;Träformgivning och snickeribranschen, gr;01.01.2013;
056;Puutarha- sekä Liiketalouden perustutkinto, pk;Grundexamen i trädgårdsskötsel och inom företagsekonomi, gr;Puutarha- sekä Liiketalouden pt, pk;Grex i trädgårds. o. företagsekonomi, gr;01.01.2013;
851;Puutarhatalouden perustutkinto, pk;Grundexamen i trädgårdsskötsel, gr;Puutarhatalouden pt, pk;Grex i trädgårdsskötsel, gr;01.01.1990;
941;Rakennusala ja puuala, pk;Byggnadsbranschen och träbranschen, gr;Rakennusala ja puuala, pk;Byggnadsbranschen och träbranschen, gr;01.01.1990;
796;Rakennusala, pk (Käsi- ja taideteollisuusalan perustutkinto);Byggnad, gr (Grundexamen inom hantverk och konstindustri);Rakennusala, pk;Byggnad, gr;01.01.1990;
861;Rakennusalan perustutkinto, pk;Grundexamen inom byggnadsbranschen, gr;Rakennusalan perustutkinto, pk;Grex inom byggnadsbranschen, gr;01.01.1990;
797;Restaurointiala, pk (Käsi- ja taideteollisuusalan perustutkinto);Restaurering, gr (Grundexamen inom hantverk och konstindustri);Restaurointiala, pk;Restaurering, gr;01.01.1990;
527;Saamenkäsityöt, kovat materiaalit, pk (Käsi- ja taideteollisuusalan perustutkinto);Sameslöjd, hårda material, gr (Grundexamen inom hantverk och konstindustri);Saamenkäsityöt, kovat materiaalit, pk;Sameslöjd, hårda material, gr;01.01.1990;
559;Saamenkäsityöt, pehmeät materiaalit, pk (Käsi- ja taideteollisuusalan perustutkinto);Sameslöjd, mjuka material, gr (Grundexamen inom hantverk och konstindustri);Saamenkäsityöt, pehmeät materiaalit, pk;Sameslöjd, mjuka  material, gr;01.01.1990;
398;Sirkusalan perustutkinto, pk;Grundexamen inom cirkusbranschen, gr;Sirkusalan perustutkinto, pk;Grex inom cirkusbranschen, gr;04.07.2008;
702;Sisustusala, pk (Käsi- ja taideteollisuusalan perustutkinto);Inredning, gr (Grundexamen inom hantverk och konstindustri);Sisustusala, pk;Inredning, gr;01.01.1990;
042;Sisustusassistentti, pk (Käsi- ja taideteollisuusalan perustutkinto);Interiörsassistent, gr (Grundexamen inom hantverk och konstindustri);Sisustusassistentti, pk;Interiörsassistent, gr;01.01.2012;
026;Sisustusompelun yritystoiminta, pk (Käsi- ja taideteollisuusalan perustutkinto);Företagsverksamhet inom inredningssömnad, gr (Grundexamen inom hantverk och konstindustri);Sisustusompelun yritystoiminta, pk;Företagande inom inredningssömnad, gr;01.01.2012;
794;Sisustusrakentaminen, pk (Käsi- ja taideteollisuusalan perustutkinto);Inredningssnickeri, gr (Grundexamen inom hantverk och konstindustri);Sisustusrakentaminen, pk;Inredningssnickeri, gr;01.01.1990;
483;Sisustustekstiilit, pk (Käsi- ja taideteollisuusalan perustutkinto);Inredningstextilier, gr (Grundexamen inom hantverk och konstindustri);Sisustustekstiilit, pk;Inredningstextilier, gr;15.05.2009;
396;Soitinrakennusala, pk (Käsi- ja taideteollisuusalan perustutkinto);Instrumentbyggnad, gr (Grundexamen inom hantverk och konstindustri);Soitinrakennusala, pk;Instrumentbyggnad, gr;01.01.1990;
873;Sosiaali- ja terveysalan perustutkinto, pk;Grundexamen inom social- och hälsovårdsbranschen, gr;Sosiaali- ja terveysalan pt, pk;Grex inom social- och hälsovårdsbr, gr;01.01.1990;
046;Stailausala, pk (Käsi- ja taideteollisuusalan perustutkinto);Styling, gr (Grundexamen inom hantverk och konstindustri);Stailausala, pk;Styling, gr;01.01.2013;
592;Suunnitteluassistentin perustutkinto, pk;Grundexamen för planeringsassistent, gr;Suunnitteluassistentin perustutkinto, pk;Grex för planeringsassistent, gr;01.01.1990;
191;Sähkö- ja automaatiotekniikan perustutkinto, pk;Grundexamen inom el- och automationsteknik, gr;Sähkö- ja automaatiotekniikan pt, pk;Grex inom el- och automationsteknik, gr;03.07.2008;
